id,env,block,vine.maturity,skin.maturity
W15267-163R,2018,3,4,0.36
W14141-15R,2018,1,3,0.36
W15263-63R,2018,1,3,0.36
W15268-214R,2018,1,4,0.35
W10209-2R,2018,3,3,0.35
W15267-162R,2018,4,3,0.34
W14141-8R,2017,2,4,0.34
W15268-179R,2018,1,2,0.33
W15268-89R,2018,2,2,0.32
AFW6045-8R,2018,1,1,0.31
W15267-139R,2018,2,7,0.31
W15277-31R,2018,2,4,0.31
W14133-16R,2018,1,4,0.31
W15268-193R,2018,1,5,0.31
W15268-33R,2018,2,5,0.31
W15268-190R,2018,3,5,0.29
RedNorland,2018,4,3,0.28
W15263-39R,2018,2,1,0.28
W15268-103R,2018,4,5,0.28
W15267-40R,2018,2,3,0.28
W15268-39R,2018,3,3,0.28
W15268-124R,2018,1,5,0.27
W15267-97R,2018,1,3,0.27
W15268-13R,2018,1,4,0.26
W15262-1R,2018,2,5,0.26
W15267-137R,2018,3,2,0.26
W14141-4R,2017,3,5,0.25
W15268-97R,2018,4,5,0.25
W15267-160R,2018,1,4,0.24
W14133-12R,2018,4,6,0.23
W15268-82R,2018,1,6,0.23
W15268-101R,2018,1,8,0.22
W15268-42R,2018,2,2,0.22
RedNorland,2018,3,4,0.22
W15268-220R,2018,1,3,0.21
W15268-108R,2018,4,5,0.21
W15277-9R,2018,1,1,0.21
W15277B-47R,2018,1,4,0.21
W15268-27R,2018,1,4,0.2
W15268-152R,2018,3,6,0.18
W15268-80R,2018,3,5,0.18
W15263-2R,2018,2,6,0.16
DarkRedNorland,2018,2,3,0.15
W15264-16R,2018,2,9,0.14
W15267-115R,2018,1,2,0.13
W15267-101R,2018,2,4,0.12
W15261-14R,2018,2,3,0.12
W15268-83R,2018,4,5,0.12
W15267-51R,2018,4,4,0.12
W15267-165R,2018,1,2,0.1
W15277B-16R,2018,4,2,0.1
W15267-214R,2018,2,1,0.1
W15267-90R,2018,3,1,0.08
W15261-15R,2018,3,5,0.08
W15277-4R,2018,1,9,0.08
W15268-204R,2018,2,6,0.08
W15267-70R,2018,3,4,0.07
W15268-53R,2018,3,1,0.07
RedNorland,2018,1,2,0.02
RedNorland,2018,2,2,0.02
W15267-26R,2018,4,5,0.01
